lineage,cell_type,gene,direction,cutoff,update_type,change_to
b_cell,CD27+ effector B cell,ZEB2,below,0.4,reassign,Core memory B cell
b_cell,CD95 memory B cell,CD3D,above,0.4,remove,T cell doublet
b_cell,Core naive B cell,AIM2,above,0.05,reassign,Core memory B cell
b_cell,Core naive B cell,LYZ,above,0.3,remove,Myeloid doublet
b_cell,Core naive B cell,FCRL2,above,0.4,remove,Myeloid doublet
b_cell,ISG+ naive B cell,FCN1,above,0.2,remove,Myeloid doublet
b_cell,ISG+ naive B cell,CD3D,above,0.4,remove,T cell doublet
b_cell,ISG+ naive B cell,IGHD,below,0.1,remove,Mislabeled Non-Naive
b_cell,Plasma cell,MS4A1,above,0.6,remove,Mislabeled MS4A1+
b_cell,Early memory B cell,TRAC,above,0.4,remove,T cell doublet
cd4_t_cell,CM CD4 T cell,CD3D,below,0.5,remove,Low quality
cd4_t_cell,CM CD4 T cell,CD8A,above,0.4,reassign,CD8+ cells
cd4_t_cell,Core naive CD4 T cell,HBB,above,0.8,remove,Erythrocyte doublet
cd4_t_cell,Core naive CD4 T cell,CD3E,below,0.4,remove,Low quality
cd4_t_cell,GZMB- CD27- EM CD4 T cell,CD79A,above,0.6,remove,B cell doublet
cd4_t_cell,GZMB- CD27- EM CD4 T cell,CD3D,below,0.7,remove,Low quality
cd4_t_cell,GZMB- CD27- EM CD4 T cell,CD8A,above,0.4,reassign,CD8+ cells
cd4_t_cell,GZMB- CD27+ EM CD4 T cell,CD8A,above,0.4,reassign,CD8+ cells
cd4_t_cell,ISG+ memory CD4 T cell,CD8A,above,0.2,remove,CD8+ cells
cd4_t_cell,ISG+ memory CD4 T cell,FCN1,above,0.6,remove,Myeloid doublet
cd4_t_cell,ISG+ naive CD4 T cell,CD8A,above,0.2,remove,CD8 doublet
cd4_t_cell,ISG+ naive CD4 T cell,FCN1,above,0.1,remove,Myeloid doublet
cd4_t_cell,KLRF1- GZMB+ CD27- memory CD4 T cell,CD8A,above,0.2,reassign,CD8+ cells
cd4_t_cell,SOX4+ naive CD4 T cell,CD8A,above,0.2,remove,CD8 doublet
cd4_t_cell,SOX4+ naive CD4 T cell,TRDC,above,0.2,remove,gdT doublet
cd8_t_cell,GZMK- CD27+ EM CD8 T cell,GZMK,above,0.5,reassign,GZMK+ CD27+ EM CD8 T cell
cd8_t_cell,KLRF1- GZMB+ CD27- EM CD8 T cell,IFI44L,above,0.4,reassign,ISG+ memory CD8 T cell
cd8_t_cell,KLRF1- GZMB+ CD27- EM CD8 T cell,HBA1,above,0.8,remove,Erythrocyte doublet
cd8_t_cell,SOX4+ naive CD8 T cell,GZMB,above,0.4,remove,Mislabeled GZMB+
other_t_cell,CD8 MAIT,GZMH,above,0.4,remove,Mislabeled GZMH+
other_t_cell,Memory CD4 Treg,MKI67,above,0.2,reassign,Proliferating T cell
other_t_cell,DN T cell,MS4A1,above,0.5,remove,B cell Doublet
other_t_cell,KLRF1- effector Vd1 gdT,TRDC,below,0.5,remove,Mislabeled TRDC-
other_t_cell,KLRF1- effector Vd1 gdT,CD27,above,0.4,remove,abT/gdT doublet
other_t_cell,KLRF1+ effector Vd1 gdT,TRAC,above,0.8,remove,abT/gdT Doublet
