gene,weight_mean,weight_sd,n_folds_selected,virus
ENSG00000187961.15,-0.03530477582594336,0.0060637314872785475,2,Epstein-Barr virus
ENSG00000187608.10,-0.2905848172994439,0.08202002109351587,6,Epstein-Barr virus
ENSG00000291156.1,0.00276329858218107,0.0384121172904985,6,Epstein-Barr virus
ENSG00000186891.14,-0.0705986532158863,0.06790135009357777,6,Epstein-Barr virus
ENSG00000186827.12,0.02880110039469037,0.019631236554662975,6,Epstein-Barr virus
ENSG00000160072.20,0.08203735137193943,0.15272951552548403,4,Epstein-Barr virus
ENSG00000272106.1,0.0371848007216184,0.0,1,Epstein-Barr virus
ENSG00000197530.13,0.015582208916408309,0.07611561130763099,6,Epstein-Barr virus
ENSG00000248333.9,-0.1908060199450666,0.0,1,Epstein-Barr virus
ENSG00000189339.12,0.09472722656339638,0.0,1,Epstein-Barr virus
ENSG00000272449.3,-0.08853996002210562,0.023483158641245786,5,Epstein-Barr virus
ENSG00000157873.18,0.22815578884575619,0.12965203017760857,6,Epstein-Barr virus
ENSG00000157870.17,0.07211512916601252,0.039250280646967936,5,Epstein-Barr virus
ENSG00000116213.16,-0.1622335955611719,0.034530779549632656,2,Epstein-Barr virus
ENSG00000158286.13,0.003735152249492948,0.026817995845942726,6,Epstein-Barr virus
ENSG00000225077.3,-0.021422842134045383,0.026295489145738052,2,Epstein-Barr virus
ENSG00000162408.11,0.09556453393950658,0.06885063712865122,5,Epstein-Barr virus
ENSG00000162413.17,-0.00037448180906792363,0.0072310883284589355,2,Epstein-Barr virus
ENSG00000049249.10,-0.005823670569461266,0.04284805108295112,6,Epstein-Barr virus
ENSG00000142583.18,-0.07604047206584845,0.04528002177843615,6,Epstein-Barr virus
ENSG00000234546.5,0.03371934171115758,0.024458747213767982,4,Epstein-Barr virus
ENSG00000179840.5,0.0722316833181034,0.01322497029208836,4,Epstein-Barr virus
ENSG00000231789.4,-0.03246760982363507,0.08482710334522198,6,Epstein-Barr virus
ENSG00000175279.22,0.1192256823224086,0.061937115430380746,4,Epstein-Barr virus
ENSG00000120942.14,-0.14301769161726416,0.0,1,Epstein-Barr virus
ENSG00000116663.11,0.12861236283921137,0.11570957385436895,2,Epstein-Barr virus
ENSG00000285646.2,0.08047548181860611,0.014325589933745934,2,Epstein-Barr virus
ENSG00000083444.17,0.09493106659263462,0.021543534426249036,3,Epstein-Barr virus
ENSG00000116691.11,-0.21149517573577054,0.0,1,Epstein-Barr virus
ENSG00000120949.15,-0.011118407072060632,0.025247330882086774,6,Epstein-Barr virus
ENSG00000028137.19,-0.1412316060058957,0.111738390235331,6,Epstein-Barr virus
