gene,stab_prob,weight_mean,weight_sd,stable
ENSG00000228794.12,0.1,,,False
ENSG00000291156.1,0.11,0.00276329858218107,0.0384121172904985,False
ENSG00000186891.14,0.13,-0.0705986532158863,0.06790135009357777,False
ENSG00000186827.12,0.02,0.02880110039469037,0.019631236554662975,False
ENSG00000160072.20,0.2,0.08203735137193943,0.15272951552548403,False
ENSG00000215014.5,0.09,,,False
ENSG00000197530.13,0.27,0.015582208916408309,0.07611561130763099,False
ENSG00000008130.15,0.21,,,False
ENSG00000272449.3,0.18,-0.08853996002210562,0.023483158641245786,False
ENSG00000157873.18,0.34,0.22815578884575619,0.12965203017760857,False
ENSG00000228037.1,0.19,,,False
ENSG00000157870.17,0.17,0.07211512916601252,0.039250280646967936,False
ENSG00000162413.17,0.13,-0.00037448180906792363,0.0072310883284589355,False
ENSG00000049249.10,0.18,-0.005823670569461266,0.04284805108295112,False
ENSG00000074800.16,0.0,,,False
ENSG00000142583.18,0.22,-0.07604047206584845,0.04528002177843615,False
ENSG00000179840.5,0.21,0.0722316833181034,0.01322497029208836,False
ENSG00000231789.4,0.16,-0.03246760982363507,0.08482710334522198,False
ENSG00000116663.11,0.15,0.12861236283921137,0.11570957385436895,False
ENSG00000285646.2,0.13,0.08047548181860611,0.014325589933745934,False
ENSG00000028137.19,0.15,-0.1412316060058957,0.111738390235331,False
ENSG00000162496.9,0.21,-0.05289158978804703,0.025792942674089128,False
ENSG00000189337.17,0.09,,,False
ENSG00000233954.7,0.19,,,False
ENSG00000291077.1,0.14,-0.013912110787740675,0.03307660110288462,False
ENSG00000132881.12,0.62,-0.13193674498893734,0.030118377688891272,True
ENSG00000291072.1,0.16,-0.05046284800953482,0.0,False
ENSG00000158825.6,0.25,,,False
ENSG00000117318.9,0.17,-0.15854505497300844,0.143140620039692,False
ENSG00000179163.12,0.26,0.33520662414803676,0.07961883418330662,False
ENSG00000001460.18,0.26,0.0031593320106725713,0.030362547845654193,False
ENSG00000117616.18,0.23,-0.17752366179052306,0.10031522588669313,False
ENSG00000117632.23,0.04,-0.2139455358716312,0.10055459918793534,False
ENSG00000142675.18,0.15,,,False
ENSG00000175793.12,0.14,0.14439116381646727,0.02130071549941021,False
ENSG00000142765.18,0.21,-0.07623881435168295,0.04473650956116977,False
ENSG00000000938.13,0.17,-0.00864876857619398,0.042033312000997754,False
ENSG00000126709.16,0.11,0.05844157950851427,0.07975786979900341,False
ENSG00000130775.16,0.24,-0.03589635765484678,0.06362703472545983,False
ENSG00000169403.12,0.24,-0.13122983630545426,0.047088787155698114,False
ENSG00000270605.1,0.23,0.029141288350772565,0.03219357685879682,False
ENSG00000130766.5,0.35,0.08434229489440209,0.048086077298426705,False
ENSG00000197989.15,0.25,0.10545685069737844,0.06371534639225344,False
ENSG00000134644.16,0.2,-0.011102688290050601,0.07803114308610246,False
ENSG00000121769.8,0.09,0.0003177463293368322,0.02817077568228337,False
ENSG00000168528.12,0.25,0.11051739382612055,0.09331498407835516,False
ENSG00000284543.1,0.13,0.027028065904670422,0.026106196605225764,False
ENSG00000160050.16,0.16,0.14675833425355309,0.13110663112572854,False
ENSG00000182866.18,0.13,0.154530948444881,0.08572078989784533,False
ENSG00000175130.7,0.04,-0.06594336683938555,0.08572183437278175,False
ENSG00000197056.11,0.34,,,False
ENSG00000092853.14,0.12,0.17645545302814436,0.08095586780639093,False
ENSG00000163874.11,0.17,0.04390806941893889,0.059391380533816256,False
ENSG00000134690.11,0.17,-0.11061994673985755,0.07023003874819549,False
ENSG00000185668.8,0.33,-0.024342225465524434,0.014102241595619352,False
ENSG00000127603.32,0.28,0.07006782396702232,0.13369091016035264,False
ENSG00000168389.18,0.33,-0.018400759697174987,0.06232856849850315,False
ENSG00000049089.15,0.15,0.08027743200622962,0.09747259662451871,False
ENSG00000243710.8,0.28,-0.012005480167328308,0.03293531617904237,False
ENSG00000117399.14,0.2,0.2701195019429639,0.03663022704539563,False
ENSG00000196517.13,0.15,-0.0031034591524597335,0.011174171546145747,False
ENSG00000198520.12,0.5,-0.1931921959414613,0.07091443901075134,False
ENSG00000173846.13,0.17,0.04939189402677211,0.03733727756264874,False
ENSG00000132780.17,0.05,0.14203831924449647,0.05401096181534016,False
ENSG00000117472.10,0.24,,,False
ENSG00000123080.12,0.36,-0.2369497329418255,0.06742164226717706,False
ENSG00000169213.7,0.31,0.12378619919966091,0.060074821052580024,False
ENSG00000134744.14,0.25,-0.06098916693964206,0.03307038263784089,False
ENSG00000116157.6,0.21,-0.05071709518005289,0.027647562941971016,False
ENSG00000058799.15,0.16,0.033859733816271456,0.041948495344072224,False
ENSG00000116133.13,0.18,-0.1272148602195292,0.0,False
ENSG00000177606.9,0.31,-0.18218867188174911,0.08658396846907361,False
ENSG00000237352.6,0.27,0.07554793318677121,0.009962762541263262,False
ENSG00000162434.14,0.12,0.09828248753234901,0.06442948230857923,False
ENSG00000162433.15,0.31,0.18062711885708324,0.07623295994725192,False
ENSG00000184588.18,0.16,-0.0019457565598711517,0.07945935333828792,False
ENSG00000116717.13,0.3,0.22120353443933366,0.06658579474317936,False
ENSG00000024526.17,0.17,-0.049316461568993504,0.09301909621793117,False
ENSG00000116761.12,0.16,0.0026134901525595167,0.039749477146618965,False
ENSG00000162623.16,0.31,0.26960795435391405,0.12754853318148252,False
ENSG00000162616.9,0.15,0.04026832693504491,0.0,False
ENSG00000137959.17,0.1,0.13317238099575562,0.10417567169056355,False
ENSG00000137965.11,0.3,0.05226825393279202,0.0,False
ENSG00000234184.8,0.08,0.14678016447668607,0.0696942516193862,False
ENSG00000137941.17,0.21,0.03500763891432772,0.043876383486375785,False
ENSG00000117151.13,0.19,0.0263852510765494,0.0545318775182255,False
ENSG00000153898.13,0.08,-0.03353596236712711,0.05639292573500891,False
ENSG00000153936.18,0.21,0.12304725547121113,0.0860445726181335,False
ENSG00000143013.13,0.21,0.30924806588986437,0.1427900914134465,False
ENSG00000117228.11,0.14,-0.035495948201542865,0.022149618166598297,False
ENSG00000162645.13,0.38,0.1765920414152321,0.08084437067491776,False
ENSG00000162654.9,0.24,,,False
ENSG00000067208.17,0.21,-0.08037222483011293,0.03254579762788388,False
ENSG00000154511.12,0.1,0.00363467153992795,0.04205182350163148,False
ENSG00000223745.8,0.16,-0.10456100832248488,0.06750372986438144,False
ENSG00000117519.16,0.22,-0.10902561970554714,0.07766215543924566,False
ENSG00000170989.10,0.14,0.0007516880816411803,0.07241516174026007,False
ENSG00000177272.10,0.09,0.02497375215794882,0.03826666757134033,False
ENSG00000143119.14,0.1,0.2842571346861794,0.1566781083188559,False
ENSG00000162777.17,0.17,-0.11057123688042621,0.1370310820866108,False
ENSG00000064886.14,0.24,0.15607071220520544,0.10714656442866735,False
ENSG00000155366.17,0.22,0.0779461005094799,0.12912440622113605,False
ENSG00000134242.16,0.18,-0.056666519469843614,0.04800486882839899,False
ENSG00000116815.16,0.21,-0.13188918605416336,0.1367948336481855,False
ENSG00000134256.13,0.15,0.01730966162594635,0.025645099596515994,False
ENSG00000183508.5,0.4,-0.058822483525526326,0.05330546514388172,False
ENSG00000092607.15,0.15,-0.0004192114703214592,0.025010943814865287,False
ENSG00000092621.13,0.18,-0.09677560053983802,0.0941302991814801,False
ENSG00000186364.12,0.43,,,False
ENSG00000265972.6,0.06,0.016473057817462045,0.0702582640349059,False
ENSG00000131791.8,0.47,,,False
ENSG00000289614.2,0.1,0.0748402719669992,0.015554337427503341,False
ENSG00000290791.1,0.16,-0.06624924384538651,0.06078523544737443,False
ENSG00000184678.11,0.26,0.07840683903348539,0.018844843162248853,False
ENSG00000184260.6,0.13,-0.08678222344278996,0.07327319732749701,False
ENSG00000143401.15,0.19,,,False
ENSG00000118292.9,0.22,0.026207657144522403,0.10103871613615224,False
ENSG00000228126.1,0.18,,,False
ENSG00000143384.14,0.18,-0.07999616081376136,0.0971585026058509,False
ENSG00000143457.11,0.24,-0.09303900139134481,0.05198947427655396,False
ENSG00000163131.12,0.11,-0.04588574937198851,0.09003647612803152,False
ENSG00000143443.10,0.32,0.001465105340179279,0.04317181591131994,False
ENSG00000163191.6,0.06,0.05811592485089725,0.08565468565296833,False
ENSG00000186226.9,0.2,0.07855201681658253,0.04358582772001876,False
ENSG00000197084.6,0.12,0.028414970980186235,0.015847860064777293,False
ENSG00000196734.9,0.1,0.027080238857399953,0.01756813181718785,False
ENSG00000163220.11,0.32,-0.08125951913129152,0.03886321297467967,False
ENSG00000197956.10,0.34,0.11884231056190077,0.07482828727913321,False
ENSG00000196154.12,0.18,-0.008136988143005555,0.039785569236437925,False
ENSG00000189171.15,0.33,0.012060539518895573,0.039057272623784195,False
ENSG00000169418.10,0.13,,,False
ENSG00000282386.1,0.1,,,False
ENSG00000163346.17,0.47,0.04730311761767018,0.031480013113222405,False
ENSG00000173207.13,0.06,0.06255463221805176,0.07554186494520768,False
ENSG00000179085.8,0.18,-0.13567517776285085,0.11527500542093547,False
ENSG00000177628.16,0.12,,,False
ENSG00000160752.15,0.16,0.2320547191084593,0.04993923666554469,False
ENSG00000116539.14,0.31,,,False
ENSG00000143622.12,0.27,0.058278937777646964,0.010795431823830436,False
ENSG00000160789.24,0.15,0.19793343592865395,0.06826974353522298,False
ENSG00000196189.14,0.1,,,False
ENSG00000160781.17,0.16,-0.05399758182097678,0.0,False
ENSG00000143297.19,0.1,-0.023935113618576826,0.07362495979691507,False
ENSG00000163563.8,0.34,-0.1464106046122754,0.09627229422936501,False
ENSG00000163564.15,0.19,0.05363901314534936,0.03877598623695374,False
ENSG00000163568.16,0.23,0.18011178884582701,0.06793556375463644,False
ENSG00000171786.6,0.2,,,False
ENSG00000162739.14,0.29,-0.025408231988014715,0.026747158929632302,False
ENSG00000066294.15,0.12,0.03397976690027293,0.04303427426890288,False
ENSG00000117090.16,0.13,0.029689685536201178,0.0812604551965946,False
ENSG00000117091.10,0.06,0.03701265117510556,0.07719751938446535,False
ENSG00000026751.17,0.11,-0.2019223561425237,0.07060303556041392,False
ENSG00000122224.18,0.14,0.04246825382177477,0.05326490152353222,False
ENSG00000158850.15,0.41,,,False
ENSG00000289106.2,0.11,,,False
ENSG00000288093.1,0.18,,,False
ENSG00000072694.22,0.22,,,False
ENSG00000132185.18,0.12,0.19528237289419975,0.0858614004332569,False
ENSG00000143228.13,0.1,0.0798588153100838,0.0962669447203649,False
ENSG00000143198.13,0.12,-0.047033078127190577,0.06921614792461232,False
ENSG00000143158.11,0.21,0.12193682163947411,0.00043887065142779404,False
ENSG00000143184.5,0.03,-0.011438699144858339,0.045589515913083134,False
ENSG00000143153.14,0.22,-0.02347868855522137,0.0807843144137583,False
ENSG00000188404.10,0.18,-0.09416599618737377,0.07520124000348903,False
ENSG00000117586.11,0.25,0.02223628705454676,0.04730448213264419,False
ENSG00000227373.6,0.26,-0.05433702448651042,0.0558094885207711,False
ENSG00000152061.24,0.17,0.1268318680890591,0.0768285120153555,False
ENSG00000289425.1,0.23,0.023737467110950084,0.0,False
ENSG00000120332.17,0.38,0.01901209671501378,0.0261274619556714,False
ENSG00000116191.19,0.08,0.003216956178789566,0.045803371929112276,False
ENSG00000116260.17,0.15,0.03541125494011747,0.03068130454393648,False
ENSG00000135821.19,0.12,-0.017052076841214143,0.06473841977256885,False
ENSG00000135828.11,0.11,0.0036301962460144055,0.0,False
ENSG00000143333.7,0.28,-0.3478439565075069,0.05550357440654041,False
ENSG00000116701.16,0.19,0.07374300151182882,0.0976133796977101,False
ENSG00000162704.16,0.71,-0.4746463575267933,0.07855730567646996,True
ENSG00000116406.20,0.15,-0.05851223735662919,0.03774614523416107,False
ENSG00000116668.13,0.19,-0.012988014955947298,0.0178191580882077,False
ENSG00000090104.12,0.26,-0.22835988253759676,0.12535056454337348,False
ENSG00000127074.15,0.11,-0.061891760016604846,0.029372086153464393,False
ENSG00000116741.8,0.28,-0.02715979895650783,0.07060644616517267,False
ENSG00000066279.19,0.17,-0.10158145662978124,0.08816706118885749,False
ENSG00000081237.21,0.47,-0.23169449122966793,0.07695172515543136,False
ENSG00000229989.6,0.14,0.03274672436058713,0.03087842536184065,False
ENSG00000162702.8,0.08,,,False
ENSG00000163362.11,0.09,-0.013338687064849685,0.030511261981595317,False
ENSG00000174307.7,0.23,0.022604696697200295,0.046638670902156946,False
ENSG00000077152.12,0.11,0.08109822163658817,0.06272662776873288,False
ENSG00000117139.18,0.21,-0.07909373388185108,0.05233958106440251,False
ENSG00000231507.4,0.19,,,False
ENSG00000159388.6,0.15,0.13884232905315078,0.06972557895738984,False
ENSG00000122188.13,0.37,,,False
ENSG00000198625.14,0.3,0.21514661169313393,0.0968383103571363,False
ENSG00000117280.13,0.25,-0.14576915364097473,0.02989973251900413,False
ENSG00000136634.7,0.13,0.042878514622212226,0.04066222036613206,False
ENSG00000162894.12,0.15,0.12532833022264792,0.05531178667231942,False
ENSG00000162896.6,0.44,-0.03232741843880232,0.015219300996046648,False
ENSG00000180667.11,0.34,,,False
ENSG00000196352.18,0.26,-0.13604293658266045,0.05304235303861141,False
ENSG00000123689.6,0.12,,,False
ENSG00000009790.15,0.08,0.06749232036009094,0.09997387814844645,False
ENSG00000117650.13,0.11,-0.02502374050203166,0.047826596996986305,False
ENSG00000162772.18,0.21,0.07946788733866816,0.06523540113587034,False
ENSG00000162769.13,0.43,,,False
ENSG00000117724.15,0.06,0.008063783403395681,0.10759364912723449,False
ENSG00000118873.17,0.48,0.20400717571518803,0.07377646231298164,False
ENSG00000117791.16,0.16,,,False
ENSG00000143507.18,0.11,-0.11869563896583835,0.08365035488777799,False
ENSG00000162909.18,0.17,0.03156375892871158,0.01996330588876707,False
ENSG00000143514.18,0.28,,,False
ENSG00000289341.2,0.28,0.04048085893354651,0.05137491132194409,False
ENSG00000185155.12,0.17,,,False
ENSG00000143772.11,0.18,0.015043158819023537,0.029317637992422974,False
ENSG00000143776.20,0.43,-0.11139253410788326,0.010673511022333743,False
ENSG00000181218.6,0.18,0.00730857771127888,0.049997018354977184,False
ENSG00000135776.5,0.42,,,False
ENSG00000143641.10,0.19,-0.008359483629644206,0.03734774698289456,False
ENSG00000135775.14,0.22,,,False
ENSG00000135750.15,0.19,0.11914291648437045,0.03732323882635652,False
ENSG00000231663.3,0.11,-0.02312010317356778,0.031058325784947532,False
ENSG00000077585.14,0.16,-0.02136735069634022,0.04298969013327246,False
ENSG00000086619.15,0.3,-0.06501973850392105,0.051140462162748784,False
ENSG00000289439.2,0.42,0.06411155212034239,0.061790585547476344,False
ENSG00000188295.15,0.33,,,False
ENSG00000067057.19,0.33,-0.2058310921025076,0.07197601379249254,False
ENSG00000067082.15,0.32,-0.15626166706176886,0.08901869948879797,False
ENSG00000134452.20,0.23,,,False
ENSG00000170525.21,0.37,,,False
ENSG00000107537.14,0.13,,,False
ENSG00000151474.23,0.09,0.025516336290764538,0.02766728453403757,False
ENSG00000026025.16,0.12,0.06141759367075927,0.10301483265363134,False
ENSG00000165996.14,0.14,-0.0867970132828657,0.053837595197244854,False
ENSG00000240291.1,0.28,,,False
ENSG00000165997.5,0.19,-0.054348277907261454,0.04109684512125163,False
ENSG00000150867.14,0.28,0.060153097668534765,0.07300031309820017,False
ENSG00000107968.10,0.26,-0.08432922554435408,0.05453644060177123,False
ENSG00000165322.18,0.14,,,False
ENSG00000150093.20,0.09,0.14924556411877818,0.04539049780549003,False
ENSG00000169826.8,0.17,,,False
ENSG00000107551.21,0.17,-0.00042995720514021836,0.039906706067738745,False
ENSG00000012779.12,0.15,-0.09088989534417197,0.07789811968379493,False
ENSG00000165406.16,0.12,0.14048708781461533,0.011812069858476886,False
ENSG00000225830.16,0.09,,,False
ENSG00000122952.17,0.11,-0.22250035362361453,0.061667141614186745,False
ENSG00000170312.17,0.19,0.29888506671874104,0.12855914160527995,False
ENSG00000150347.17,0.17,-0.10803027300142441,0.07315136881847852,False
ENSG00000122877.18,0.23,-0.07223905234900606,0.045383297081403116,False
ENSG00000228065.13,0.32,-0.051453505379630345,0.0009036764599936708,False
ENSG00000165732.14,0.09,0.30939798042299843,0.07696749817651585,False
ENSG00000122862.5,0.29,0.04609729415914914,0.11313098185675599,False
ENSG00000107738.20,0.22,0.023184937357194162,0.07620234115208693,False
ENSG00000197746.15,0.21,-0.03283939984147601,0.10603486147213785,False
ENSG00000168209.6,0.12,0.14122908899480793,0.09686719333005489,False
ENSG00000122884.13,0.34,0.22667758210062539,0.05859302894913816,False
ENSG00000213551.7,0.13,0.08249601220824036,0.0728927596543269,False
ENSG00000196968.11,0.19,-0.08720521332291903,0.030008273146246378,False
ENSG00000156113.25,0.42,0.19732131406951092,0.06458432862608275,False
ENSG00000108175.19,0.25,,,False
ENSG00000285972.1,0.2,-0.0679178678180435,0.07725986086832008,False
ENSG00000188373.5,0.18,0.2415172756762459,0.037943433190335926,False
ENSG00000107771.17,0.12,-0.05647626620033265,0.00513625948286003,False
ENSG00000171862.15,0.17,0.06333887778266377,0.06475909292262844,False
ENSG00000107796.13,0.45,0.12448810824105562,0.05752678063820991,False
ENSG00000286116.1,0.26,-0.05156486186152653,0.015040164504945861,False
ENSG00000107798.18,0.11,0.13522236081964417,0.05331911032686103,False
ENSG00000119922.11,0.13,0.045090051743956035,0.0675386320818267,False
ENSG00000119917.15,0.17,0.07339416832802044,0.09405676853873314,False
ENSG00000185745.10,0.29,-0.06174517466563722,0.09473495887656519,False
ENSG00000152778.10,0.15,0.011075687442425286,0.06456304778026474,False
ENSG00000138182.15,0.12,-0.015122755551742565,0.06873389088738678,False
ENSG00000107864.15,0.18,,,False
ENSG00000152804.11,0.33,,,False
ENSG00000119969.16,0.08,0.14018975274628517,0.11069716805047156,False
ENSG00000107438.9,0.07,-0.0018090252265358538,0.03373979657356122,False
ENSG00000273162.1,0.2,0.08375834315680236,0.0360985833482927,False
ENSG00000120049.20,0.18,,,False
ENSG00000077150.21,0.28,-0.25011544697506677,0.11083873035727905,False
ENSG00000119950.21,0.13,,,False
ENSG00000138166.6,0.21,0.1236718510240034,0.05324075650472715,False
ENSG00000150593.18,0.15,-0.018095754184016665,0.044069845729468544,False
ENSG00000099204.22,0.27,0.1261772582986322,0.024898923845436356,False
ENSG00000165868.16,0.18,-0.08024693687753337,0.058398100303371385,False
ENSG00000119979.18,0.15,0.025485096350917915,0.0595771771981762,False
ENSG00000198825.15,0.22,0.01631679459680055,0.04335310591548673,False
ENSG00000107679.15,0.2,-0.06792231910688015,0.009287693535855655,False
ENSG00000188620.11,0.14,0.02488796139102129,0.030909353876432545,False
ENSG00000226899.1,0.12,,,False
ENSG00000107938.18,0.44,-0.21400661787661446,0.07290042735780365,False
ENSG00000148773.14,0.05,0.019752968213191814,0.05643196493167095,False
ENSG00000176171.12,0.38,0.30236941126884825,0.07788808905602462,False
ENSG00000151651.16,0.15,-0.05885074229972049,0.06897297034834644,False
ENSG00000148832.16,0.2,-0.06547066399369621,0.06959064000980762,False
ENSG00000142102.16,0.34,-0.040941873438687756,0.02004739633709557,False
ENSG00000185201.18,0.16,,,False
ENSG00000185885.17,0.16,0.04852741260871337,0.08404431386858857,False
ENSG00000185187.13,0.17,0.05400745907027007,0.050665550932023164,False
ENSG00000247095.5,0.13,0.04913552496111923,0.04795582625998629,False
ENSG00000185507.21,0.43,-0.280397985105387,0.10299607883687688,False
ENSG00000099834.19,0.06,,,False
ENSG00000177106.17,0.13,-0.07649833741074942,0.08651330397211761,False
ENSG00000184524.6,0.23,-0.07324351143071182,0.08242221165851914,False
ENSG00000177666.17,0.23,,,False
ENSG00000110651.13,0.26,0.056582928408441154,0.07416484287509753,False
ENSG00000269821.2,0.28,-0.023620829861402626,0.07364209415208224,False
ENSG00000110628.16,0.26,0.0710889597563011,0.02801404779595596,False
ENSG00000110619.18,0.18,0.0976525878512598,0.10882545785522499,False
ENSG00000177105.10,0.06,,,False
ENSG00000223609.11,0.32,-0.08601009552123783,0.03516138968678774,False
ENSG00000170955.10,0.05,-0.04351772980370413,0.023151203146249976,False
ENSG00000166311.10,0.14,0.043574101646866786,0.0,False
ENSG00000133789.15,0.09,0.10752862910223138,0.08205783443676284,False
ENSG00000148926.10,0.18,0.0687301028139528,0.049544101719901326,False
ENSG00000262655.4,0.29,-0.0907050912238012,0.03708189482142458,False
