gene_id	star_total_umi	vs_total_umi	vs_over_star	star_n_cells_ge1	vs_n_cells_ge1
EPSTEIN_HHV4_A73	0	3	inf	0	3
EPSTEIN_HHV4_BHRF1	0	0	inf	0	0
EPSTEIN_HHV4_BRLF1	77	57	0.740	74	52
EPSTEIN_HHV4_BZLF1	0	0	inf	0	0
EPSTEIN_HHV4_EBNA-1.1	0	0	inf	0	0
EPSTEIN_HHV4_EBNA-1.2	0	4	inf	0	4
EPSTEIN_HHV4_EBNA-2	0	716	inf	0	381
EPSTEIN_HHV4_EBNA-3A	0	817	inf	0	203
EPSTEIN_HHV4_EBNA-3B/EBNA-3C	0	274	inf	0	191
EPSTEIN_HHV4_EBNA-LP	0	37	inf	0	36
EPSTEIN_HHV4_LMP-1	47220	99	0.002	1418	92
EPSTEIN_HHV4_LMP-2A	0	20	inf	0	19
EPSTEIN_HHV4_LMP-2B	373	4	0.011	299	4
EPSTEIN_HHV4_RPMS1	0	17	inf	0	17
EPSTEIN_unassigned_gene_1	0	11	inf	0	11
EPSTEIN_unassigned_gene_2	0	47	inf	0	40
