accession	virus_name	genus	family	source
NC_002076.2	Torque teno virus	Alphatorquevirus	Anelloviridae	viralscan-refseq
NC_014073.1	Torque teno virus 28	Alphatorquevirus	Anelloviridae	viralscan-refseq
NC_014075.1	Torque teno virus 12	Alphatorquevirus	Anelloviridae	viralscan-refseq
NC_014076.1	Alphatorquevirus homin10	Alphatorquevirus	Anelloviridae	viralscan-refseq
NC_014078.1	Alphatorquevirus homin19	Alphatorquevirus	Anelloviridae	viralscan-refseq
NC_014080.1	Alphatorquevirus homin7	Alphatorquevirus	Anelloviridae	viralscan-refseq
NC_014081.1	Alphatorquevirus homin3	Alphatorquevirus	Anelloviridae	viralscan-refseq
NC_014084.1	Torque teno virus 8	Alphatorquevirus	Anelloviridae	viralscan-refseq
NC_014091.1	Torque teno virus 16	Alphatorquevirus	Anelloviridae	viralscan-refseq
NC_014094.1	Alphatorquevirus homin6	Alphatorquevirus	Anelloviridae	viralscan-refseq
NC_014096.1	Alphatorquevirus homin15	Alphatorquevirus	Anelloviridae	viralscan-refseq
NC_014480.2	Alphatorquevirus homin2	Alphatorquevirus	Anelloviridae	viralscan-refseq
NC_038336.1	Alphatorquevirus homin5	Alphatorquevirus	Anelloviridae	viralscan-refseq
NC_038337.1	Alphatorquevirus homin9	Alphatorquevirus	Anelloviridae	viralscan-refseq
NC_038338.1	Torque teno virus 11	Alphatorquevirus	Anelloviridae	viralscan-refseq
NC_038339.1	Alphatorquevirus homin13	Alphatorquevirus	Anelloviridae	viralscan-refseq
NC_038340.1	Alphatorquevirus homin20	Alphatorquevirus	Anelloviridae	viralscan-refseq
NC_038341.1	Alphatorquevirus homin21	Alphatorquevirus	Anelloviridae	viralscan-refseq
NC_038343.1	Alphatorquevirus homin24	Alphatorquevirus	Anelloviridae	viralscan-refseq
NC_038344.1	Alphatorquevirus homin29	Alphatorquevirus	Anelloviridae	viralscan-refseq
NC_038345.1	Torque teno mini virus 10	Betatorquevirus	Anelloviridae	clareaulab
NC_038346.1	Torque teno mini virus 11	Betatorquevirus	Anelloviridae	clareaulab
NC_038350.1	Torque teno midi virus 3	Gammatorquevirus	Anelloviridae	clareaulab
NC_038351.1	Torque teno midi virus 4	Gammatorquevirus	Anelloviridae	clareaulab
NC_038359.1	Torque teno midi virus 12	Gammatorquevirus	Anelloviridae	clareaulab
AB026929.1	Torque teno mini virus 6	Betatorquevirus	Anelloviridae	clareaulab
AB026930.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
AB026931.1	Torque teno mini virus 1	Betatorquevirus	Anelloviridae	clareaulab
AB041962.1	Torque teno mini virus 5	Betatorquevirus	Anelloviridae	clareaulab
AB290917.1	Torque teno midi virus 1	Gammatorquevirus	Anelloviridae	clareaulab
AB290918.1	Torque teno midi virus 1	Gammatorquevirus	Anelloviridae	clareaulab
AB290919.1	Torque teno midi virus 2	Gammatorquevirus	Anelloviridae	clareaulab
AB303552.1	Torque teno midi virus 5	Gammatorquevirus	Anelloviridae	clareaulab
AB303553.1	Torque teno midi virus 6	Gammatorquevirus	Anelloviridae	clareaulab
AB303554.1	Torque teno midi virus 7	Gammatorquevirus	Anelloviridae	clareaulab
AB303555.1	Torque teno midi virus	Anelloviridae	Anelloviridae	clareaulab
AB303556.1	Torque teno midi virus	Gammatorquevirus	Anelloviridae	clareaulab
AB303557.1	Torque teno midi virus	Gammatorquevirus	Anelloviridae	clareaulab
AB303558.1	Torque teno midi virus 8	Gammatorquevirus	Anelloviridae	clareaulab
AB303559.1	Torque teno midi virus 9	Gammatorquevirus	Anelloviridae	clareaulab
AB303560.1	Torque teno midi virus 10	Gammatorquevirus	Anelloviridae	clareaulab
AB303561.1	Torque teno midi virus 11	Gammatorquevirus	Anelloviridae	clareaulab
AB303562.1	Torque teno midi virus 12	Gammatorquevirus	Anelloviridae	clareaulab
AB303563.1	Torque teno midi virus	Gammatorquevirus	Anelloviridae	clareaulab
AB303564.1	Torque teno midi virus 13	Gammatorquevirus	Anelloviridae	clareaulab
AB303565.1	Torque teno midi virus	Gammatorquevirus	Anelloviridae	clareaulab
AB303566.1	Torque teno midi virus 14	Gammatorquevirus	Anelloviridae	clareaulab
AF291073.1	Torque teno mini virus 8	Betatorquevirus	Anelloviridae	clareaulab
AY622909.1	Small anellovirus 2	Gammatorquevirus	Anelloviridae	clareaulab
AY823988.1	Torque teno virus	Anelloviridae	Anelloviridae	clareaulab
AY823989.1	Torque teno virus	Alphatorquevirus	Anelloviridae	clareaulab
GU797360.1	Torque teno virus 10	Alphatorquevirus	Anelloviridae	clareaulab
HM224451.1	Torque teno virus	Alphatorquevirus	Anelloviridae	clareaulab
JN980171.1	Torque teno virus	Alphatorquevirus	Anelloviridae	clareaulab
JQ308210.1	Gyrovirus GyV3	Gyrovirus	Anelloviridae	clareaulab
JQ690762.1	Chicken anemia virus	Gyrovirus	Anelloviridae	clareaulab
JQ690763.1	Avian gyrovirus 2	Gyrovirus	Anelloviridae	clareaulab
JX134044.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
JX134045.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
JX134046.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
JX310702.1	Gyrovirus 4	Gyrovirus	Anelloviridae	clareaulab
KF294861.1	Gyrovirus Tu243	Gyrovirus	Anelloviridae	clareaulab
KF294862.1	Gyrovirus Tu789	Gyrovirus	Anelloviridae	clareaulab
KF764701.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
KJ194502.1	Torque teno virus	Alphatorquevirus	Anelloviridae	clareaulab
KJ194503.1	Torque teno virus	Anelloviridae	Anelloviridae	clareaulab
KM259873.1	Torque teno mini virus ALA22	Betatorquevirus	Anelloviridae	clareaulab
KM259874.1	Torque teno mini virus ALH8	Betatorquevirus	Anelloviridae	clareaulab
KM593802.2	SEN virus	Anelloviridae	Anelloviridae	clareaulab
KP036971.1	Torque teno virus	Alphatorquevirus	Anelloviridae	clareaulab
KP343818.1	Torque teno virus	Betatorquevirus	Anelloviridae	clareaulab
KP343819.1	Torque teno virus	Betatorquevirus	Anelloviridae	clareaulab
KP343820.1	Torque teno virus	Samektorquevirus	Anelloviridae	clareaulab
KP343821.1	Torque teno virus	Anelloviridae	Anelloviridae	clareaulab
KP343822.1	Torque teno virus	Anelloviridae	Anelloviridae	clareaulab
KP343823.1	Torque teno virus	Anelloviridae	Anelloviridae	clareaulab
KP343824.1	Torque teno virus	Gammatorquevirus	Anelloviridae	clareaulab
KP343825.1	Torque teno virus	Gammatorquevirus	Anelloviridae	clareaulab
KP343826.1	Torque teno virus	Gammatorquevirus	Anelloviridae	clareaulab
KP343827.1	Torque teno virus	Gammatorquevirus	Anelloviridae	clareaulab
KP343828.1	Torque teno virus	Anelloviridae	Anelloviridae	clareaulab
KP343829.1	Torque teno virus	Betatorquevirus	Anelloviridae	clareaulab
KP343830.1	Torque teno virus	Betatorquevirus	Anelloviridae	clareaulab
KP343831.1	Torque teno virus	Betatorquevirus	Anelloviridae	clareaulab
KP343832.1	Torque teno virus	Betatorquevirus	Anelloviridae	clareaulab
KP343833.1	Torque teno virus	Betatorquevirus	Anelloviridae	clareaulab
KP343834.1	Torque teno virus	Betatorquevirus	Anelloviridae	clareaulab
KP343835.1	Torque teno virus	Betatorquevirus	Anelloviridae	clareaulab
KP343836.1	Torque teno virus	Betatorquevirus	Anelloviridae	clareaulab
KP343837.1	Torque teno virus	Alphatorquevirus	Anelloviridae	clareaulab
KP343838.1	Torque teno virus	Anelloviridae	Anelloviridae	clareaulab
KP343839.1	Torque teno virus	Alphatorquevirus	Anelloviridae	clareaulab
KP343840.1	Torque teno virus	Alphatorquevirus	Anelloviridae	clareaulab
KP343841.1	Torque teno virus	Anelloviridae	Anelloviridae	clareaulab
KP343842.1	Torque teno virus	Anelloviridae	Anelloviridae	clareaulab
KP343843.1	Torque teno virus	Alphatorquevirus	Anelloviridae	clareaulab
KP343844.1	Torque teno virus	Anelloviridae	Anelloviridae	clareaulab
KP343845.1	Torque teno virus	Alphatorquevirus	Anelloviridae	clareaulab
KP343846.1	Torque teno virus	Anelloviridae	Anelloviridae	clareaulab
KP343847.1	Torque teno virus	Betatorquevirus	Anelloviridae	clareaulab
KP343848.1	Torque teno virus	Betatorquevirus	Anelloviridae	clareaulab
KP343849.1	Torque teno virus	Betatorquevirus	Anelloviridae	clareaulab
KP343850.1	Torque teno virus	Betatorquevirus	Anelloviridae	clareaulab
KP343851.1	Torque teno virus	Betatorquevirus	Anelloviridae	clareaulab
KP343852.1	Torque teno virus	Anelloviridae	Anelloviridae	clareaulab
KP343853.1	Torque teno virus	Betatorquevirus	Anelloviridae	clareaulab
KP343854.1	Torque teno virus	Betatorquevirus	Anelloviridae	clareaulab
KP343856.1	Torque teno virus	Betatorquevirus	Anelloviridae	clareaulab
KP343857.1	Torque teno virus	Betatorquevirus	Anelloviridae	clareaulab
KP343858.1	Torque teno virus	Betatorquevirus	Anelloviridae	clareaulab
KP343859.1	Torque teno virus	Betatorquevirus	Anelloviridae	clareaulab
KP343860.1	Torque teno virus	Betatorquevirus	Anelloviridae	clareaulab
KP343862.1	Torque teno virus	Betatorquevirus	Anelloviridae	clareaulab
KP343864.1	Torque teno virus	Betatorquevirus	Anelloviridae	clareaulab
KU041847.1	Torque teno mini virus 18	Betatorquevirus	Anelloviridae	clareaulab
KU243129.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
KX810064.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
KY462757.1	Torque teno mini virus SHC	Betatorquevirus	Anelloviridae	clareaulab
KY462758.1	Torque teno mini virus SHC	Betatorquevirus	Anelloviridae	clareaulab
KY462770.1	Torque teno mini virus SHA	Betatorquevirus	Anelloviridae	clareaulab
KY856742.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
LC381845.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
LC385662.1	Torque teno virus 7	Alphatorquevirus	Anelloviridae	clareaulab
MH017548.1	Torque teno mini virus 10	Betatorquevirus	Anelloviridae	clareaulab
MH017554.1	Torque teno mini virus 10	Betatorquevirus	Anelloviridae	clareaulab
MH017556.1	Torque teno mini virus 10	Betatorquevirus	Anelloviridae	clareaulab
MH017563.1	Torque teno mini virus 10	Gammatorquevirus	Anelloviridae	clareaulab
MH017566.1	Torque teno midi virus 10	Gammatorquevirus	Anelloviridae	clareaulab
MH017570.1	Torque teno virus 1	Alphatorquevirus	Anelloviridae	clareaulab
MH017577.1	Torque teno virus 1	Alphatorquevirus	Anelloviridae	clareaulab
MH017583.1	Torque teno virus 1	Alphatorquevirus	Anelloviridae	clareaulab
MH648892.1	Anelloviridae sp.	Betatorquevirus	Anelloviridae	clareaulab
MH648893.1	Anelloviridae sp.	Anelloviridae	Anelloviridae	clareaulab
MH648897.1	Anelloviridae sp.	Betatorquevirus	Anelloviridae	clareaulab
MH648900.1	Anelloviridae sp.	Anelloviridae	Anelloviridae	clareaulab
MH648901.1	Anelloviridae sp.	Alphatorquevirus	Anelloviridae	clareaulab
MH648907.1	Anelloviridae sp.	Betatorquevirus	Anelloviridae	clareaulab
MH648910.1	Anelloviridae sp.	Betatorquevirus	Anelloviridae	clareaulab
MH648911.1	Anelloviridae sp.	Alphatorquevirus	Anelloviridae	clareaulab
MH648912.1	Anelloviridae sp.	Betatorquevirus	Anelloviridae	clareaulab
MH648913.1	Anelloviridae sp.	Alphatorquevirus	Anelloviridae	clareaulab
MH648916.1	Anelloviridae sp.	Anelloviridae	Anelloviridae	clareaulab
MH648922.1	Anelloviridae sp.	Anelloviridae	Anelloviridae	clareaulab
MH648925.1	Anelloviridae sp.	Anelloviridae	Anelloviridae	clareaulab
MH648942.1	Anelloviridae sp.	Anelloviridae	Anelloviridae	clareaulab
MH648946.1	Anelloviridae sp.	Alphatorquevirus	Anelloviridae	clareaulab
